File,Expected,Predicted,Intra_Hamming,Within_Threshold,Match,Authenticated
308_2.csv,308,308,5,1,1,1
309_2.csv,309,310,15,1,0,0
31_2.csv,31,31,10,1,1,1
32_2.csv,32,32,8,1,1,1
33_2.csv,33,33,5,1,1,1
34_2.csv,34,34,6,1,1,1
35_2.csv,35,35,7,1,1,1
36_2.csv,36,36,9,1,1,1
37_2.csv,37,37,4,1,1,1
38_2.csv,38,38,3,1,1,1
39_2.csv,39,39,12,1,1,1
4_2.csv,4,4,4,1,1,1
40_2.csv,40,40,19,1,1,1
41_2.csv,41,41,8,1,1,1
42_2.csv,42,42,8,1,1,1
43_2.csv,43,43,12,1,1,1
44_2.csv,44,44,10,1,1,1
45_2.csv,45,45,8,1,1,1
46_2.csv,46,46,10,1,1,1
47_2.csv,47,47,6,1,1,1
48_2.csv,48,48,8,1,1,1
49_2.csv,49,49,6,1,1,1
5_2.csv,5,5,6,1,1,1
50_2.csv,50,50,12,1,1,1
51_2.csv,51,51,7,1,1,1
52_2.csv,52,52,13,1,1,1
53_2.csv,53,53,5,1,1,1
54_2.csv,54,54,13,1,1,1
55_2.csv,55,55,8,1,1,1
56_2.csv,56,56,7,1,1,1
57_2.csv,57,57,6,1,1,1
58_2.csv,58,58,8,1,1,1
59_2.csv,59,59,4,1,1,1
6_2.csv,6,6,9,1,1,1
60_2.csv,60,60,7,1,1,1
61_2.csv,61,61,5,1,1,1
62_2.csv,62,62,7,1,1,1
63_2.csv,63,63,7,1,1,1
64_2.csv,64,64,6,1,1,1
65_2.csv,65,65,4,1,1,1
66_2.csv,66,66,8,1,1,1
67_2.csv,67,67,9,1,1,1
68_2.csv,68,68,7,1,1,1
69_2.csv,69,69,7,1,1,1
7_2.csv,7,7,11,1,1,1
70_2.csv,70,70,5,1,1,1
71_2.csv,71,71,9,1,1,1
72_2.csv,72,72,8,1,1,1
73_2.csv,73,73,5,1,1,1
74_2.csv,74,74,9,1,1,1
75_2.csv,75,75,14,1,1,1
76_2.csv,76,76,10,1,1,1
77_2.csv,77,77,10,1,1,1
78_2.csv,78,78,5,1,1,1
79_2.csv,79,79,7,1,1,1
8_2.csv,8,8,7,1,1,1
80_2.csv,80,80,8,1,1,1
81_2.csv,81,81,5,1,1,1
82_2.csv,82,82,5,1,1,1
83_2.csv,83,83,12,1,1,1
84_2.csv,84,84,10,1,1,1
85_2.csv,85,85,10,1,1,1
86_2.csv,86,86,7,1,1,1
87_2.csv,87,87,8,1,1,1
88_2.csv,88,88,12,1,1,1
89_2.csv,89,89,7,1,1,1
9_2.csv,9,9,5,1,1,1
90_2.csv,90,90,10,1,1,1
91_2.csv,91,91,4,1,1,1
92_2.csv,92,92,8,1,1,1
93_2.csv,93,93,8,1,1,1
94_2.csv,94,94,14,1,1,1
95_2.csv,95,95,8,1,1,1
96_2.csv,96,96,11,1,1,1
97_2.csv,97,97,7,1,1,1
98_2.csv,98,98,6,1,1,1
99_2.csv,99,99,9,1,1,1
